"group","annotation"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"Lebanon","0: ESBL-, Carb-"
"Switzerland","1: ESBL+, Carb-"
"Switzerland","1: ESBL+, Carb-"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","1: ESBL+, Carb-"
"Romania","3: Carb+, Col+"
"Romania","1: ESBL+, Carb-"
"Romania","2: Carb+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","1: ESBL+, Carb-"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","3: Carb+, Col+"
"Romania","3: Carb+, Col+"
"Romania","2: Carb+"
"Romania","3: Carb+, Col+"
"Romania","2: Carb+"
"Romania","3: Carb+, Col+"
"Australia","0: ESBL-, Carb-"
"India","1: ESBL+, Carb-"
"Pakistan","0: ESBL-, Carb-"
"USA","3: Carb+, Col+"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"China","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"Switzerland","2: Carb+"
"UK","3: Carb+, Col+"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","3: Carb+, Col+"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","1: ESBL+, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"USA","3: Carb+, Col+"
"USA","3: Carb+, Col+"
"USA","2: Carb+"
"USA","2: Carb+"
"India","0: ESBL-, Carb-"
"India","0: ESBL-, Carb-"
"China","2: Carb+"
"China","3: Carb+, Col+"
"China","3: Carb+, Col+"
"Romania","2: Carb+"
"Romania","2: Carb+"
"Romania","1: ESBL+, Carb-"
"Romania","1: ESBL+, Carb-"
"China","3: Carb+, Col+"
"UK","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"Netherlands","0: ESBL-, Carb-"
"Netherlands","0: ESBL-, Carb-"
"Brazil","3: Carb+, Col+"
"Brazil","3: Carb+, Col+"
"Russia","0: ESBL-, Carb-"
"Brazil","2: Carb+"
"China","0: ESBL-, Carb-"
"Brazil","2: Carb+"
"New Zealand","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","1: ESBL+, Carb-"
"New Zealand","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","1: ESBL+, Carb-"
"Thailand","1: ESBL+, Carb-"
"Austria","2: Carb+"
"Austria","2: Carb+"
"Malaysia","0: ESBL-, Carb-"
"Austria","2: Carb+"
"Austria","1: ESBL+, Carb-"
"Austria","1: ESBL+, Carb-"
"Malaysia","1: ESBL+, Carb-"
"Austria","1: ESBL+, Carb-"
"South Africa","1: ESBL+, Carb-"
"South Africa","1: ESBL+, Carb-"
"Lebanon","1: ESBL+, Carb-"
"India","0: ESBL-, Carb-"
"Brazil","0: ESBL-, Carb-"
"Brazil","0: ESBL-, Carb-"
"Brazil","0: ESBL-, Carb-"
"Portugal","2: Carb+"
"Portugal","2: Carb+"
"Norway","1: ESBL+, Carb-"
"China","0: ESBL-, Carb-"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"unknown","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"Brazil","1: ESBL+, Carb-"
"Brazil","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"Tanzania","1: ESBL+, Carb-"
"Tanzania","1: ESBL+, Carb-"
"Brazil","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"Algeria","0: ESBL-, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","0: ESBL-, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Algeria","1: ESBL+, Carb-"
"Brazil","0: ESBL-, Carb-"
"Brazil","1: ESBL+, Carb-"
"South Africa","1: ESBL+, Carb-"
"South Africa","1: ESBL+, Carb-"
"South Africa","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"unknown","0: ESBL-, Carb-"
"USA","2: Carb+"
"France","0: ESBL-, Carb-"
"USA","2: Carb+"
"Brazil","2: Carb+"
"Argentina","2: Carb+"
"USA","3: Carb+, Col+"
"UK","0: ESBL-, Carb-"
"UK","1: ESBL+, Carb-"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"UK","2: Carb+"
"UK","1: ESBL+, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"USA","2: Carb+"
"Italy","2: Carb+"
"Italy","2: Carb+"
"USA","2: Carb+"
"South Africa","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"Italy","2: Carb+"
"Brazil","3: Carb+, Col+"
"Italy","2: Carb+"
"China","2: Carb+"
"Norway","2: Carb+"
"USA","3: Carb+, Col+"
"Italy","2: Carb+"
"Poland","2: Carb+"
"Italy","0: ESBL-, Carb-"
"USA","2: Carb+"
"Italy","3: Carb+, Col+"
"USA","2: Carb+"
"USA","2: Carb+"
"Germany","2: Carb+"
"Germany","2: Carb+"
"Germany","2: Carb+"
"Taiwan","3: Carb+, Col+"
"China","2: Carb+"
"Thailand","1: ESBL+, Carb-"
"Germany","2: Carb+"
"USA","2: Carb+"
"China","2: Carb+"
"South Korea","2: Carb+"
"USA","2: Carb+"
"China","2: Carb+"
"Ghana","1: ESBL+, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"Brazil","2: Carb+"
"China","1: ESBL+, Carb-"
"unknown","3: Carb+, Col+"
"China","2: Carb+"
"Japan","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"Italy","0: ESBL-, Carb-"
"China","2: Carb+"
"unknown","2: Carb+"
"China","0: ESBL-, Carb-"
"China","2: Carb+"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"Spain","2: Carb+"
"Spain","2: Carb+"
"Russia","2: Carb+"
"Caribbean","1: ESBL+, Carb-"
"unknown","2: Carb+"
"Martinique","0: ESBL-, Carb-"
"Taiwan","0: ESBL-, Carb-"
"Norway","2: Carb+"
"Madagascar","0: ESBL-, Carb-"
"Madagascar","1: ESBL+, Carb-"
"Vietnam","1: ESBL+, Carb-"
"Laos","0: ESBL-, Carb-"
"Norway","3: Carb+, Col+"
"China","0: ESBL-, Carb-"
"USA","3: Carb+, Col+"
"USA","2: Carb+"
"USA","2: Carb+"
